d,name,avg_kincaid,kincaid
2014-01-01,ASSESSORAMENTO LEGISLATIVO,3970,92.68863387
2014-01-01,ASSISTÊNCIA A PLENÁRIOS E PORTARIA,1817,33.55633467
2014-01-01,ASSISTÊNCIA SOCIAL,24,0.41032491
2014-01-01,BIBLIOTECONOMIA,589,13.12378005
2014-01-01,CHEFE DE GABINETE DA PRESIDÊNCIA,12,0.28105953
2014-01-01,COMUNICAÇÃO SOCIAL,4036,79.1580513
2014-01-01,CONTABILIDADE,377,8.57490843
2014-01-01,DIRETOR,48,1.19371283
2014-01-01,DIRETOR-EXECUTIVO,12,0.29183127
2014-01-01,DIRETOR DE SECRETARIA,24,0.53258538
2014-01-01,EDIFICAÇÕES,2950,57.593469
2014-01-01,ELETRÔNICA E TELECOMUNICAÇÕES,706,13.46150015
2014-01-01,ENFERMAGEM,708,13.86179514
2014-01-01,ENGENHARIA,279,5.80709585
2014-01-01,FARMÁCIA,24,0.47839616
2014-01-01,FISIOTERAPIA,12,0.20190188
2014-01-01,INFORMÁTICA LEGISLATIVA,5995,130.92696749
2014-01-01,MANUTENÇÃO DE MÁQUINAS GRÁFICAS,72,1.84278468
2014-01-01,MEDICINA,972,20.82568775
2014-01-01,NaN,18434,119.30959212
2014-01-01,NUTRIÇÃO,12,0.19388112
2014-01-01,ODONTOLOGIA,84,2.07261242
2014-01-01,ORÇAMENTO PÚBLICO,732,17.31969366
2014-01-01,POLICIAL LEGISLATIVO FEDERAL,5402,107.93169141
2014-01-01,PROCESSO INDUSTRIAL GRÁFICO,7074,151.95879362
2014-01-01,PROCESSO LEGISLATIVO,18900,421.16499009
2014-01-01,PSICOLOGIA,84,1.62259422
2014-01-01,RADIOLOGIA,36,0.58151176
2014-01-01,REABILITAÇÃO,24,0.49677188
2014-01-01,REDAÇÃO E REVISÃO,717,16.46262088
2014-01-01,REGISTRO E REDAÇÃO PARLAMENTAR,1719,39.1068973
2014-01-01,SECRETÁRIO PARLAMENTAR,84,1.57636841
2014-01-01,SEGURANÇA,1354,28.15741538
2014-01-01,TELEFONIA,12,0.16511186
2014-01-01,TRADUÇÃO E INTERPRETAÇÃO,108,2.11792088
2015-01-01,ADMINISTRAÇÃO,9123,208.04082858
2015-01-01,ADVOCACIA,396,9.95422309
2015-01-01,ANÁLISE DE CUSTOS,22,0.56710074
2015-01-01,ANALISTA LEGISLATIVO,33,0.78778601
2015-01-01,APOSENTADORIA SERVIDOR IPC/PSSC,4004,3.03610871
2015-01-01,ARQUITETURA,88,1.97798664
2015-01-01,ARQUIVOLOGIA,132,2.4100203
2015-01-01,ASSESSOR,11,0.3703846
2015-01-01,ASSESSORAMENTO EM ORÇAMENTOS,596,15.27683013
2015-01-01,ASSESSORAMENTO LEGISLATIVO,3882,100.40614647
2015-01-01,ASSISTÊNCIA A PLENÁRIOS E PORTARIA,1671,33.22425235
2015-01-01,ASSISTÊNCIA SOCIAL,22,0.39941468
2015-01-01,BIBLIOTECONOMIA,561,13.61493034
2015-01-01,CHEFE DE GABINETE DA PRESIDÊNCIA,11,0.27662788
2015-01-01,COMUNICAÇÃO SOCIAL,3749,80.50501002
2015-01-01,CONTABILIDADE,374,8.88627419
2015-01-01,DIRETOR,44,1.23542927
2015-01-01,DIRETOR-EXECUTIVO,11,0.29525469
2015-01-01,DIRETOR DE SECRETARIA,22,0.52212659
2015-01-01,EDIFICAÇÕES,2704,54.59603467
2015-01-01,ELETRÔNICA E TELECOMUNICAÇÕES,682,13.64629374
2015-01-01,ENFERMAGEM,649,13.09832398
2015-01-01,ENGENHARIA,319,7.14474145
2015-01-01,FARMÁCIA,22,0.49023517
2015-01-01,FISIOTERAPIA,11,0.18965906
2015-01-01,INFORMÁTICA LEGISLATIVA,5611,133.22890224
2015-01-01,MANUTENÇÃO DE MÁQUINAS GRÁFICAS,66,1.8623687
2015-01-01,MEDICINA,891,20.99955345
2015-01-01,NaN,25387,171.81975836
2015-01-01,NUTRIÇÃO,11,0.18747475
2015-01-01,ODONTOLOGIA,77,1.63325043
2015-01-01,ORÇAMENTO PÚBLICO,671,17.98211542
2015-01-01,POLICIAL LEGISLATIVO FEDERAL,5179,109.19467915
2015-01-01,PROCESSO INDUSTRIAL GRÁFICO,6496,146.78908764
2015-01-01,PROCESSO LEGISLATIVO,17576,425.06923062
2015-01-01,PSICOLOGIA,77,1.63833884
2015-01-01,RADIOLOGIA,33,0.57677417
2015-01-01,REABILITAÇÃO,22,0.42294582
2015-01-01,REDAÇÃO E REVISÃO,671,17.12039833
2015-01-01,REGISTRO E REDAÇÃO PARLAMENTAR,1646,41.81365313
2015-01-01,SECRETÁRIO PARLAMENTAR,77,1.45619389
2015-01-01,SEGURANÇA,1242,28.12007712
2015-01-01,TELEFONIA,11,0.16344206
2015-01-01,TRADUÇÃO E INTERPRETAÇÃO,99,2.1737026
2016-01-01,ADMINISTRAÇÃO,9962,235.11253684
2016-01-01,ADVOCACIA,432,10.77805895
2016-01-01,ANÁLISE DE CUSTOS,24,0.62461101
2016-01-01,ANALISTA LEGISLATIVO,36,0.94977801
2016-01-01,APOSENTADORIA SERVIDOR IPC/PSSC,4367,3.14165345
2016-01-01,ARQUITETURA,96,2.51597355
2016-01-01,ARQUIVOLOGIA,144,2.75735261
2016-01-01,ASSESSOR,6,0.1728357
2016-01-01,ASSESSORAMENTO EM ORÇAMENTOS,650,16.89831599
2016-01-01,ASSESSORAMENTO LEGISLATIVO,4234,110.23999799
2016-01-01,ASSISTÊNCIA A PLENÁRIOS E PORTARIA,1824,37.41130126
2016-01-01,ASSISTÊNCIA SOCIAL,24,0.44950839
2016-01-01,BIBLIOTECONOMIA,612,14.78786978
2016-01-01,CHEFE DE GABINETE DA PRESIDÊNCIA,12,0.3200376
2016-01-01,COMUNICAÇÃO SOCIAL,4096,90.31752297
2016-01-01,CONTABILIDADE,407,9.8267096
2016-01-01,DIRETOR,48,1.3508885
2016-01-01,DIRETOR-EXECUTIVO,12,0.32067287
2016-01-01,DIRETOR DE SECRETARIA,24,0.58064558
2016-01-01,EDIFICAÇÕES,2950,62.33492641
2016-01-01,ELETRÔNICA E TELECOMUNICAÇÕES,744,15.50073498
2016-01-01,ENFERMAGEM,708,15.14541206
2016-01-01,ENGENHARIA,348,8.22695508
2016-01-01,FARMÁCIA,24,0.54550981
2016-01-01,FISIOTERAPIA,12,0.23511781
2016-01-01,INFORMÁTICA LEGISLATIVA,6123,149.67866735
2016-01-01,MANUTENÇÃO DE MÁQUINAS GRÁFICAS,72,2.05155096
2016-01-01,MEDICINA,972,23.6981065
2016-01-01,NaN,33753,231.80406765
2016-01-01,NUTRIÇÃO,12,0.2174597
2016-01-01,ODONTOLOGIA,84,1.8118671
2016-01-01,ORÇAMENTO PÚBLICO,732,19.7859457
2016-01-01,POLICIAL LEGISLATIVO FEDERAL,5649,122.92352802
2016-01-01,PROCESSO INDUSTRIAL GRÁFICO,7088,165.67141321
2016-01-01,PROCESSO LEGISLATIVO,19182,470.82771137
2016-01-01,PSICOLOGIA,84,1.8687013
2016-01-01,RADIOLOGIA,36,0.62079844
2016-01-01,REABILITAÇÃO,24,0.46632821
2016-01-01,REDAÇÃO E REVISÃO,732,19.00430255
2016-01-01,REGISTRO E REDAÇÃO PARLAMENTAR,1800,47.85560488
2016-01-01,SECRETÁRIO PARLAMENTAR,84,1.62488551
2016-01-01,SEGURANÇA,1355,30.81387455
2016-01-01,TELEFONIA,12,0.18144543
2016-01-01,TRADUÇÃO E INTERPRETAÇÃO,108,2.53041348
2017-01-01,ADMINISTRAÇÃO,4975,131.38821437
2017-01-01,ADVOCACIA,216,5.95067776
2017-01-01,ANÁLISE DE CUSTOS,12,0.33198316
2017-01-01,ANALISTA LEGISLATIVO,18,0.48938288
2017-01-01,APOSENTADORIA SERVIDOR IPC/PSSC,2184,1.67998189
2017-01-01,ARQUITETURA,48,1.22798194
2017-01-01,ARQUIVOLOGIA,72,1.59971435
2017-01-01,ASSESSORAMENTO EM ORÇAMENTOS,324,9.34845121
2017-01-01,ASSESSORAMENTO LEGISLATIVO,2118,60.99858748
2017-01-01,ASSISTÊNCIA A PLENÁRIOS E PORTARIA,912,21.42428384
2017-01-01,ASSISTÊNCIA SOCIAL,12,0.26759595
2017-01-01,BIBLIOTECONOMIA,306,8.55560551
2017-01-01,CHEFE DE GABINETE DA PRESIDÊNCIA,6,0.1918684
2017-01-01,COMUNICAÇÃO SOCIAL,2056,51.57882349
2017-01-01,CONTABILIDADE,204,5.58180046
2017-01-01,DIRETOR,24,0.69600902
2017-01-01,DIRETOR-EXECUTIVO,6,0.1759952
2017-01-01,DIRETOR DE SECRETARIA,12,0.34515516
2017-01-01,EDIFICAÇÕES,1476,35.63999203
2017-01-01,ELETRÔNICA E TELECOMUNICAÇÕES,370,8.92026465
2017-01-01,ENFERMAGEM,354,8.98244198
2017-01-01,ENGENHARIA,174,4.62337796
2017-01-01,FARMÁCIA,12,0.29166542
2017-01-01,FISIOTERAPIA,6,0.13756939
2017-01-01,INFORMÁTICA LEGISLATIVA,3060,86.15348034
2017-01-01,MANUTENÇÃO DE MÁQUINAS GRÁFICAS,36,1.26276863
2017-01-01,MEDICINA,486,13.75358247
2017-01-01,NaN,19938,149.82333591
2017-01-01,NUTRIÇÃO,6,0.12693938
2017-01-01,ODONTOLOGIA,42,1.01859459
2017-01-01,ORÇAMENTO PÚBLICO,361,11.56739075
2017-01-01,POLICIAL LEGISLATIVO FEDERAL,2826,67.37130916
2017-01-01,PROCESSO INDUSTRIAL GRÁFICO,3545,92.0710655
2017-01-01,PROCESSO LEGISLATIVO,9580,262.06980664
2017-01-01,PSICOLOGIA,42,1.0380935
2017-01-01,RADIOLOGIA,18,0.45030262
2017-01-01,REABILITAÇÃO,12,0.25717083
2017-01-01,REDAÇÃO E REVISÃO,366,10.66631298
2017-01-01,REGISTRO E REDAÇÃO PARLAMENTAR,900,26.0328732
2017-01-01,SECRETÁRIO PARLAMENTAR,42,0.9190112
2017-01-01,SEGURANÇA,678,16.92144937
2017-01-01,TELEFONIA,6,0.09999572
2017-01-01,TRADUÇÃO E INTERPRETAÇÃO,54,1.43123952
